Group,Set,Repeat,Cu_content,Temperature,Time,EDTA,Sheet resistance,AVT (380-780 nm),Figure of Merit,FoM
1,1,1,0.6,60,50,0.05,575,0.754,0.000103287,103.2869883
1,1,2,0.6,60,50,0.05,562,0.749,9.89E-05,98.87394475
1,1,3,0.6,60,50,0.05,566,0.752,0.000102179,102.1790769
1,1,4,0.6,60,50,0.05,560,0.752,0.000103274,103.2738527
1,2,1,0.6,60,60,0.03,543,0.784,0.00016157,161.5700269
1,2,2,0.6,60,60,0.03,562,0.79,0.000168475,168.4746634
1,2,3,0.6,60,60,0.03,521,0.782,0.000164146,164.1458122
1,3,1,0.6,60,70,0.04,493,0.75,0.000114226,114.2261962
1,3,2,0.6,60,70,0.04,500,0.755,0.000120365,120.3648037
1,3,3,0.6,60,70,0.04,499,0.752,0.000115899,115.898512
1,3,4,0.6,60,70,0.04,502,0.757,0.000123099,123.0991567
1,4,1,0.6,70,50,0.03,476,0.774,0.000162107,162.1073305
1,4,2,0.6,70,50,0.03,498,0.783,0.000173936,173.9355192
1,4,3,0.6,70,50,0.03,479,0.786,0.000187884,187.8840646
1,5,1,0.6,70,60,0.04,478,0.774,0.000161429,161.4290572
1,5,2,0.6,70,60,0.04,499,0.778,0.000162815,162.8153789
1,5,3,0.6,70,60,0.04,467,0.767,0.000150882,150.8817661
1,6,1,0.6,70,70,0.05,539,0.737,8.77E-05,87.71747331
1,6,2,0.6,70,70,0.05,537,0.734,8.45E-05,84.52522071
1,6,3,0.6,70,70,0.05,522,0.733,8.58E-05,85.7766821
1,7,1,0.6,80,50,0.04,493,0.756,0.0001237,123.7003806
1,7,2,0.6,80,50,0.04,472,0.752,0.000122528,122.5282998
1,7,3,0.6,80,50,0.04,458,0.75,0.000122955,122.9552723
1,7,4,0.6,80,50,0.04,454,0.75,0.000124039,124.0385787
1,8,1,0.6,80,60,0.05,483,0.74,0.000101946,101.945971
1,8,2,0.6,80,60,0.05,509,0.744,0.000102097,102.096669
1,8,3,0.6,80,60,0.05,506,0.746,0.000105496,105.4964287
1,8,4,0.6,80,60,0.05,501,0.747,0.000107986,107.9862083
1,9,1,0.6,80,70,0.03,360,0.752,0.000160648,160.6482153
1,9,2,0.6,80,70,0.03,367,0.737,0.000128828,128.8275698
1,9,3,0.6,80,70,0.03,352,0.75,0.000159982,159.9815759
1,10,1,0.65,60,50,0.05,577,0.762,0.000114386,114.3862705
1,10,2,0.65,60,50,0.05,569,0.758,0.000110047,110.0474009
1,10,3,0.65,60,50,0.05,566,0.754,0.000104929,104.9293609
1,11,1,0.65,60,60,0.03,566,0.802,0.000194503,194.5034243
1,11,2,0.65,60,60,0.03,578,0.79,0.000163811,163.8110049
1,11,3,0.65,60,60,0.03,564,0.794,0.000176574,176.5736605
1,12,1,0.65,60,70,0.04,472,0.752,0.000122528,122.5282998
1,12,2,0.65,60,70,0.04,470,0.757,0.00013148,131.4803759
1,12,3,0.65,60,70,0.04,459,0.749,0.000121061,121.0613441
1,13,1,0.65,70,50,0.03,409,0.776,0.000193595,193.5948966
1,13,2,0.65,70,50,0.03,401,0.787,0.000227302,227.3018398
1,13,3,0.65,70,50,0.03,388,0.784,0.000226115,226.1147541
1,14,1,0.65,70,60,0.04,362,0.767,0.000194646,194.6458143
1,14,2,0.65,70,60,0.04,372,0.764,0.000182134,182.1338407
1,14,3,0.65,70,60,0.04,396,0.766,0.000175627,175.6274964
1,15,1,0.65,70,70,0.05,611,0.744,8.51E-05,85.0527079
1,15,2,0.65,70,70,0.05,569,0.747,9.51E-05,95.08100242
1,15,3,0.65,70,70,0.05,543,0.74,9.07E-05,90.68122279
1,15,4,0.65,70,70,0.05,502,0.733,8.92E-05,89.19407979
1,16,1,0.65,80,50,0.04,426,0.746,0.000125308,125.3079646
1,16,2,0.65,80,50,0.04,407,0.752,0.000142097,142.0967015
